endpoint,defined_in,used_by_frontend,matching_sources
/health,api/src/main.rs,no,
/health/db,api/src/main.rs,no,
/api/health/detailed,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/register,api/src/main.rs,yes,client/doctor-portal/src/pages/RegisterPatientPage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/emergency-access,api/src/main.rs,yes,client/doctor-portal/src/components/NFCTapSimulator.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/simulate-nfc-tap,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/access/logs,api/src/main.rs,yes,client/doctor-portal/src/pages/AccessLogsPage.tsx (callsite)
/api/access-logs/{patient_id},api/src/main.rs,yes,client/patient-app/src/pages/DashboardPage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/patients,api/src/main.rs,yes,client/doctor-portal/src/components/PatientSelect.tsx (callsite);client/doctor-portal/src/pages/PatientSearchPage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/patients/{patient_id},api/src/main.rs,yes,client/doctor-portal/src/pages/PatientDetailPage.tsx (callsite);client/patient-app/src/pages/DashboardPage.tsx (callsite);client/patient-app/src/pages/EmergencyCardPage.tsx (callsite);client/patient-app/src/pages/MyProfilePage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/patients/{patient_id}/emergency-contacts,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/auth/demo-login,api/src/main.rs,yes,client/doctor-portal/src/store/authStore.ts (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/demo,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/roles/assign,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/roles/revoke,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/auth/bootstrap,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/auth/register,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/auth/challenge,api/src/main.rs,no,
/api/auth/login,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/auth/login/{address},api/src/main.rs,no,
/api/staff/all,api/src/main.rs,no,
/api/providers,api/src/main.rs,yes,client/doctor-portal/src/components/StaffSelect.tsx (callsite)
/api/auth/wallet/{address},api/src/main.rs,yes,client/patient-app/src/store/authStore.ts (callsite)
/api/auth/me,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/users/{wallet_address},api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/users,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/users/{wallet_address},api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/my-records,api/src/main.rs,yes,client/patient-app/public/sw.js (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/settings,api/src/main.rs,yes,client/patient-app/src/pages/SettingsPage.tsx (callsite)
/api/ipfs/health,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/records/upload,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/records/download,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/records/{patient_id},api/src/main.rs,yes,client/patient-app/src/pages/MyRecordsPage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/lab/submit,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/lab/pending,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/lab/submissions,api/src/main.rs,yes,client/doctor-portal/src/pages/LabResultsPage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/lab/submissions/{submission_id},api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/lab/review,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/lab/submissions/{submission_id}/review,api/src/main.rs,yes,client/doctor-portal/src/pages/LabResultsPage.tsx (callsite)
/api/lab/patient/{patient_id},api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/nfc/generate,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/nfc/tap,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/nfc/verify-qr,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/nfc/card/{patient_id},api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/nfc/suspend,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/nfc/cards,api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/clinical/triage,api/src/main.rs,yes,client/doctor-portal/src/pages/TriagePage.tsx (callsite);client/shared/src/api/endpoints.ts (wrapper)
/api/clinical/triage/{assessment_id},api/src/main.rs,yes,client/shared/src/api/endpoints.ts (wrapper)
/api/clinical/patient/{patient_id}/triage,api/src/main.rs,no,
