source_type,file,endpoint
wrapper,client/shared/src/api/endpoints.ts,/api/ipfs/health
wrapper,client/shared/src/api/endpoints.ts,/api/health/detailed
wrapper,client/shared/src/api/endpoints.ts,/api/register
wrapper,client/shared/src/api/endpoints.ts,/api/patients
wrapper,client/shared/src/api/endpoints.ts,/api/patients/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/patients/{patientId}/emergency-contacts
wrapper,client/shared/src/api/endpoints.ts,/api/my-records
wrapper,client/shared/src/api/endpoints.ts,/api/emergency-access
wrapper,client/shared/src/api/endpoints.ts,/api/simulate-nfc-tap
wrapper,client/shared/src/api/endpoints.ts,/api/access-logs/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/users
wrapper,client/shared/src/api/endpoints.ts,/api/users/{walletAddress}
wrapper,client/shared/src/api/endpoints.ts,/api/roles/assign
wrapper,client/shared/src/api/endpoints.ts,/api/roles/revoke
wrapper,client/shared/src/api/endpoints.ts,/api/auth/demo-login
wrapper,client/shared/src/api/endpoints.ts,/api/auth/bootstrap
wrapper,client/shared/src/api/endpoints.ts,/api/auth/register
wrapper,client/shared/src/api/endpoints.ts,/api/auth/login
wrapper,client/shared/src/api/endpoints.ts,/api/auth/me
wrapper,client/shared/src/api/endpoints.ts,/api/records/upload
wrapper,client/shared/src/api/endpoints.ts,/api/records/download
wrapper,client/shared/src/api/endpoints.ts,/api/records/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/nfc/generate
wrapper,client/shared/src/api/endpoints.ts,/api/nfc/tap
wrapper,client/shared/src/api/endpoints.ts,/api/nfc/verify-qr
wrapper,client/shared/src/api/endpoints.ts,/api/nfc/card/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/nfc/suspend
wrapper,client/shared/src/api/endpoints.ts,/api/nfc/cards
wrapper,client/shared/src/api/endpoints.ts,/api/demo
wrapper,client/shared/src/api/endpoints.ts,/api/lab/submit
wrapper,client/shared/src/api/endpoints.ts,/api/lab/pending
wrapper,client/shared/src/api/endpoints.ts,/api/lab/submissions
wrapper,client/shared/src/api/endpoints.ts,/api/lab/submissions/{submissionId}
wrapper,client/shared/src/api/endpoints.ts,/api/lab/review
wrapper,client/shared/src/api/endpoints.ts,/api/lab/patient/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/triage
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/triage/{assessment_id}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/triage/queue
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/soap
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/soap/{note_id}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/sample/{patient_id}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/gcs
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/vitals
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/vitals/flowsheet/{patient_id}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/vitals/patient/{patient_id}/latest
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/code-blue
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/code-blue/{event_id}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/code-blue/patient/{patient_id}
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/trauma
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/stroke
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/cardiac
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/sepsis
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/mar
wrapper,client/shared/src/api/endpoints.ts,/api/nursing/mar/administer
wrapper,client/shared/src/api/endpoints.ts,/api/nursing/intake-output/record
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/care-plan
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/wound-assessments
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/order
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/orders
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/discharge-summary
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/discharges/{id}/approve
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/ama
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/consult
wrapper,client/shared/src/api/endpoints.ts,/api/dashboard/patient
wrapper,client/shared/src/api/endpoints.ts,/api/dashboard/doctor
wrapper,client/shared/src/api/endpoints.ts,/api/dashboard/nurse
wrapper,client/shared/src/api/endpoints.ts,/api/dashboard/lab
wrapper,client/shared/src/api/endpoints.ts,/api/dashboard/admin
wrapper,client/shared/src/api/endpoints.ts,/api/dashboard/pharmacist
wrapper,client/shared/src/api/endpoints.ts,/api/order-sets
wrapper,client/shared/src/api/endpoints.ts,/api/notifications
wrapper,client/shared/src/api/endpoints.ts,/api/messages
wrapper,client/shared/src/api/endpoints.ts,/api/consent/types
wrapper,client/shared/src/api/endpoints.ts,/api/consent/sign
wrapper,client/shared/src/api/endpoints.ts,/api/barcode/generate
wrapper,client/shared/src/api/endpoints.ts,/api/barcode/scan
wrapper,client/shared/src/api/endpoints.ts,/api/templates/notes
wrapper,client/shared/src/api/endpoints.ts,/api/medical-id/{patient_id}
wrapper,client/shared/src/api/endpoints.ts,/api/medical-id/{patient_id}/qr
wrapper,client/shared/src/api/endpoints.ts,/api/medical-id/{patient_id}/emergency
wrapper,client/shared/src/api/endpoints.ts,/api/medical-id/{patient_id}/lockscreen
wrapper,client/shared/src/api/endpoints.ts,/api/medical-id/{patient_id}/preferences
wrapper,client/shared/src/api/endpoints.ts,/api/medical-id/{patient_id}/emergency-notify
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/pre-op
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/operative-note
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/post-op
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/anesthesia
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/radiology/order
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/radiology/report
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/pathology
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/immunization
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/family-history
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/blood-bank/type-screen
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/blood-bank/transfusion
wrapper,client/shared/src/api/endpoints.ts,/api/clinical/e-prescription
wrapper,client/shared/src/api/endpoints.ts,/api/appointments
wrapper,client/shared/src/api/endpoints.ts,/api/appointments/patient/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/wearables/devices
wrapper,client/shared/src/api/endpoints.ts,/api/wearables/readings
wrapper,client/shared/src/api/endpoints.ts,/api/wearables/alerts
wrapper,client/shared/src/api/endpoints.ts,/api/symptoms
wrapper,client/shared/src/api/endpoints.ts,/api/telehealth/sessions
wrapper,client/shared/src/api/endpoints.ts,/api/cds/alerts
wrapper,client/shared/src/api/endpoints.ts,/api/lab-trends/patient/{patientId}
wrapper,client/shared/src/api/endpoints.ts,/api/insurance/verify
wrapper,client/shared/src/api/endpoints.ts,/api/reminders/medication
wrapper,client/shared/src/api/endpoints.ts,/api/drugs
wrapper,client/shared/src/api/endpoints.ts,/api/interactions
wrapper,client/shared/src/api/endpoints.ts,/api/interactions/check
wrapper,client/shared/src/api/endpoints.ts,/api/family/groups
wrapper,client/shared/src/api/endpoints.ts,/api/family/groups/{groupId}/members
wrapper,client/shared/src/api/endpoints.ts,/api/family/my-groups
wrapper,client/shared/src/api/endpoints.ts,/api/family/groups/{groupId}/members/{patientId}

callsite,client/doctor-portal/src/pages/AccessLogsPage.tsx,/api/access/logs
callsite,client/doctor-portal/src/pages/DashboardPage.tsx,/api/dashboard/doctor
callsite,client/doctor-portal/src/pages/TriagePage.tsx,/api/clinical/triage
callsite,client/doctor-portal/src/pages/TriagePage.tsx,/api/clinical/triage/queue
callsite,client/doctor-portal/src/pages/SOAPNotePage.tsx,/api/clinical/soap
callsite,client/doctor-portal/src/pages/PatientSearchPage.tsx,/api/patients
callsite,client/doctor-portal/src/pages/LabResultsPage.tsx,/api/lab/submissions
callsite,client/doctor-portal/src/pages/LabResultsPage.tsx,/api/lab/submissions/{submissionId}/review
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/mar
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/intake-output
callsite,client/doctor-portal/src/pages/NursingPage.tsx,/api/nursing/care-plans
callsite,client/doctor-portal/src/pages/OrdersPage.tsx,/api/clinical/orders
callsite,client/doctor-portal/src/pages/RegisterPatientPage.tsx,/api/register
callsite,client/doctor-portal/src/store/authStore.ts,/api/auth/demo-login
